S NO.,Date,Nifty50_Open,SPOTRATE_CLOSE,SR_OUTPUT,SP500_CLOSE,SP500_OUTPUT,NASDAQ100_CLOSE,NASDAQ_OUTPUT,CRUDE_OIL_CLOSE,CRUDE_OIL_OUTPUT,LSE_CLOSE,LSE_OUTPUT
1,18-07-2022,16151.4,12.23,0.57,3830.85,2.19,11877.5,2.68,99.42,7.26,7650,2.67
2,15-07-2022,16010.8,12.07,0.5,3863.16,1.22,11983.62,1.34,97.59,4.61,7550,3.23
3,14-07-2022,16018.85,12.33,1.62,3790.38,2.01,11768.39,2.72,96.65,7.09,7626,1.63
4,13-07-2022,16128.2,12.77,0.79,3801.78,1.87,11728.53,2.76,95.9,3.62,7674,2.16
5,12-07-2022,16126.2,13.01,0.31,3818.8,1.87,11744.99,2.61,94.41,10.38,7730,2.24
6,11-07-2022,16136.15,12.93,0.46,3854.43,0.88,11860.28,1.63,103.16,4.09,7662,1.62
7,08-07-2022,16273.65,13.18,1.85,3899.38,1.27,12125.69,1.86,104.79,3.67,7612,1.99
8,07-07-2022,16113.75,13.23,1.61,3902.62,1.34,12109.05,2.01,102.73,8.19,7582,2.81
9,06-07-2022,15818.2,13.63,1.03,3845.08,1.62,11852.59,1.82,98.53,7.4,7668,3.19
10,05-07-2022,15909.15,14.77,0.74,3831.39,2.41,11779.91,3.64,99.5,14.39,7430,4.41
11,04-07-2022,15710.5,14.85,0.68,3828.36,2.24,11682.8,2.75,110.4,3.28,7708,2.75
12,01-07-2022,15703.7,14.21,1.55,3825.33,2.07,11585.68,1.86,108.43,4.57,7558,1.74
13,30-06-2022,15774.5,15.02,0.8,3785.38,2.15,11503.72,2.88,105.76,5.09,7632,2.01
14,29-06-2022,15701.7,15.08,1.79,3818.83,0.99,11658.26,1.49,109.78,4.42,7700,1.65
15,28-06-2022,15757.45,15.13,1.19,3821.55,3.29,11637.77,4.3,111.76,2.37,7748,2.11
16,27-06-2022,15926.2,15.35,2.54,3900.11,0.98,11987.36,1.74,109.57,4.68,7664,1.8
17,24-06-2022,15657.4,15.35,0.52,3911.74,2.4,12105.85,2.53,107.62,4.77,7600,3.22
18,23-06-2022,15451.55,16.02,4.09,3795.73,1.58,11697.68,1.86,104.27,4.62,7464,2.95
19,22-06-2022,15545.65,15.85,2.99,3759.89,2.26,11527.71,2.48,106.19,8.11,7338,3.75
20,21-06-2022,15455.95,15.6,0.19,3764.79,1.73,11546.76,1.67,110.65,3.45,7166,2.6
21,20-06-2022,15334.5,15.83,0.82,3719.82,1.84,11406.38,2.03,108.84,2.18,7078,2.75
22,17-06-2022,15272.65,16.16,0.69,3674.84,1.95,11265.99,2.39,109.56,9.9,7130,2.22
23,16-06-2022,15832.25,15.42,2.4,3666.77,2.43,11127.57,2.44,117.59,5.14,7254,3.03
24,15-06-2022,15729.25,15.61,2.03,3789.99,3.1,11593.77,3.53,115.31,4.37,7088,4.05
25,14-06-2022,15674.25,15.36,1.76,3735.48,1.96,11311.69,1.89,118.93,6.05,6738,3.82
26,13-06-2022,15877.55,15.66,7.34,3749.63,2.78,11288.32,2.78,120.93,4.07,6866,3.98
27,10-06-2022,16283.95,15.66,2.55,3900.86,1.9,11832.82,2.09,120.67,3.74,7052,1.55
28,09-06-2022,16263.85,15.95,1.07,4017.82,2.54,12269.78,3.25,121.51,1.6,7110,1.11
29,08-06-2022,16474.95,16.04,0.06,4115.77,1.29,12615.13,1.57,122.11,3.25,7098,3.06
30,07-06-2022,16469.6,15.97,1.51,4160.68,2.08,12711.67,2.6,119.41,2.75,7126,1.99
31,06-06-2022,16530.7,16.06,0.5,4121.43,1.45,12599.63,2.15,118.5,2.86,7328,2.34
